name,addr,gu,dong,위도_user,경도_user
청운효자동 자치회관,서울특별시 종로구 자하문로 19길 36,종로구,청운효자동,37.5818163,126.9692537
사직동 자치회관,서울특별시 종로구 사직로9길 1,종로구,사직동,37.5759361,126.967264
삼청동 자치회관,서울특별시 종로구 삼청로 107,종로구,삼청동,37.58497759999999,126.981792
부암동 자치회관,서울특별시 종로구 창의문로 145,종로구,부암동,37.5925634,126.9641561
평창동 자치회관,서울특별시 종로구 평창문화로 65,종로구,평창동,37.6063625,126.9683355
무악동 자치회관,서울특별시 종로구 통일로 14길 36,종로구,무악동,37.5759275,126.95814
교남동 자치회관,서울특별시 종로구 송월길 154,종로구,교남동,37.5719124,126.9619593
가회동 자치회관,서울특별시 종로구 북촌로35,종로구,가회동,37.5801053,126.9847902
종로1.2.3.4가동 자치회관,서울특별시 종로구 삼일대로 30길 47,종로구,종로1.2.3.4가동,37.5744812,126.9902316
종로5.6가동 자치회관,서울특별시 종로구 종로35가길 19,종로구,종로5.6가동,37.5720506,127.0050264
이화동 자치회관,서울특별시 종로구 이화장길33,종로구,이화동,37.5769782,127.0043489
혜화동 자치회관,서울특별시 종로구 혜화로12,종로구,혜화동,37.5868221,127.000522
창신제1동 자치회관,서울특별시 종로구 지봉로 8-6,종로구,창신제1동,37.5707605,127.0163177
창신제2동 자치회관,서울특별시 종로구 창신길62,종로구,창신제2동,37.5744568,127.0108524
창신제3동 자치회관,서울특별시 종로구 지봉로87,종로구,창신제3동,37.5779924,127.0146963
숭인제1동 자치회관,서울특별시 종로구 지봉로86,종로구,숭인제1동,37.5778304,127.0156304
숭인제2동 자치회관,서울특별시 종로구 종로65길 10,종로구,숭인제2동,37.5748793,127.0199741
소공동 자치회관,서울특별시 중구 남대문로1길 31-5,중구,소공동,37.5624224,126.9770437
회현동 자치회관,서울특별시 중구 퇴계로8길 46,중구,회현동,37.5573015,126.9793685
명동 자치회관,서울특별시 중구 퇴계로20길 3,중구,명동,37.5600563,126.985827
필동 자치회관,서울특별시 중구 퇴계로36길 42,중구,필동,37.5601579,126.9955791
장충동 자치회관,서울특별시 중구 장충단로8길 22,중구,장충동,37.5619088,127.0078442
