영업상태코드,영업상태명,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명,전화번호,주소,위도_user,경도_user
1,영업/정상,134-868,서울특별시 강동구 천호동 335-8,"서울특별시 강동구 올림픽로79길 23, 1층 (천호동)",5245.0,세븐일레븐 천호이편한점,편의점,210880.8738,449088.389,,,서울특별시 강동구 천호동 335-8,37.54399069999999,127.1239109
1,영업/정상,135-894,서울특별시 강남구 신사동 610-4,"서울특별시 강남구 압구정로30길 18, 지상1층 (신사동)",6022.0,세븐일레븐 신사증권점,편의점,202496.7319,447120.1974,,,서울특별시 강남구 신사동 610-4,37.5263176,127.0290336
1,영업/정상,130-851,서울특별시 동대문구 전농동 128-101,"서울특별시 동대문구 전농로37길 78, 1층 (전농동)",2557.0,지에스25 (전농샛별점),편의점,204444.3151,453284.2054,,,서울특별시 동대문구 전농동 128-101,37.58184749999999,127.0511031
1,영업/정상,134-858,서울특별시 강동구 암사동 452 진주빌딩,"서울특별시 강동구 고덕로 96, 진주빌딩 1층 103,104호 (암사동)",5255.0,씨유 암사진주점,편의점,211936.1242,450260.9752,,,서울특별시 강동구 암사동 452 진주빌딩,37.55451130000001,127.1357878
1,영업/정상,137-841,서울특별시 서초구 방배동 897-1 1층,"서울특별시 서초구 서초대로26길 3, 1층 (방배동)",6664.0,씨유 내방역점,편의점,199448.586,442829.2125,,,서울특별시 서초구 방배동 897-1 1층,37.4876589,126.994554
1,영업/정상,137-807,서울특별시 서초구 반포동 612-55,"서울특별시 서초구 서래로5길 96, 1층 (반포동)",6575.0,세븐일레븐 반포서래마을점,편의점,199296.135,443950.2368,,02-3274-8112,서울특별시 서초구 반포동 612-55,37.4977592,126.992829
1,영업/정상,142-805,서울특별시 강북구 미아동 62-27 행복빌딩,"서울특별시 강북구 도봉로 63, 행복빌딩 1층 좌측호 (미아동)",1205.0,지에스(GS)25 미아영훈점,편의점,202552.1534,456936.6438,,,서울특별시 강북구 미아동 62-27 행복빌딩,37.6147398,127.0296725
1,영업/정상,151-813,서울특별시 관악구 봉천동 100-324,"서울특별시 관악구 행운6길 2, 1층 101호 (봉천동)",8741.0,세븐일레븐 관악행운길점,편의점,196396.638,442110.9471,,,서울특별시 관악구 봉천동 100-324,37.4811802,126.9600491
1,영업/정상,134080,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕,"서울특별시 강동구 아리수로50길 50, 1층 (고덕동, 래미안힐스테이트고덕)",5229.0,CU고덕래미안점,편의점,212926.0899,450751.5243,,02-3426-5559,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕,37.5607881,127.1507855
1,영업/정상,135-897,서울특별시 강남구 신사동 655-15 지상1층,"서울특별시 강남구 선릉로153길 18 (신사동,지상1층)",6019.0,세븐일레븐 압구정가은점,편의점,203288.9822,446961.0469,,02-541-9745,서울특별시 강남구 신사동 655-15 지상1층,37.5248812,127.0379955
1,영업/정상,136-863,서울특별시 성북구 종암동 80-3 삼성 래미안아파트 상가동,"서울특별시 성북구 종암로27길 37, 상가동 1층 107호 (종암동, 삼성 래미안아파트)",2803.0,GS25종암래미안점,편의점,202637.5367,455541.7628,,,서울특별시 성북구 종암동 80-3 삼성 래미안아파트 상가동,37.600976,127.0303523
1,영업/정상,134-874,서울특별시 강동구 천호동 483-8,"서울특별시 강동구 한강남자전거길 3646, 1층 (천호동)",,세븐일레븐 한강광나루1호점,편의점,210521.8418,449248.7449,,,서울특별시 강동구 천호동 483-8,37.5454396,127.1198506
