name,phone,category,addr,위도_user,경도_user
해솔태권도장,,태권도,서울특별시 서대문구 북가좌동 286-18 2층,37.5799754,126.9159234
부부 용인대 TOP 태권도장,,태권도,서울특별시 강서구 가양동 1474 대림경동아파트 상가동 304호,37.5663469,126.8540309
마이 복싱 짐,,권투,서울특별시 서초구 잠원동 10-48 명성빌딩,37.5164861,127.0178559
TS국가대표MVP태권도장,02-835-8253,태권도,서울특별시 영등포구 신길동 4397,37.4975261,126.9168911
용인대 예도 태권도,02-858-6585,태권도,서울특별시 구로구 구로동 507-6,37.4980694,126.8842531
행복한 백호 태권도,,태권도,서울특별시 구로구 개봉동 38-10,37.5024534,126.8433587
민앤마이노(한성대점),,유도,서울특별시 성북구 동소문동2가 227 애산빌딩,37.5891437,127.0082993
숭무관,,합기도,서울특별시 양천구 신정동 174-1,37.5089175,126.866551
점프파이어,,태권도,서울특별시 금천구 시흥동 794-11 반도상가,37.4623634,126.9091312
드림태권도장,417-8512,태권도,서울특별시 송파구 석촌동 212-4,37.5015301,127.098544
주식회사 파이트월드넘버원,,권투,서울특별시 강남구 삼성동 65-11 삼경빌라,37.5167407,127.0521616
파이널유도 멀티짐(등촌점),2604-6565,유도,서울특별시 강서구 등촌동 668-9 청호프라자 지하1층,37.5582279,126.8442884
락유도관 먹골점,,유도,서울특별시 중랑구 묵동 239-134 민선빌딩,37.6116244,127.0761061
맥코이 복싱클럽(건대점),02-466-6212,권투,서울특별시 광진구 화양동 34-75 2층,37.5441009,127.0696029
파이널유도 멀티짐,,유도,서울특별시 강서구 염창동 258-1 염창동동아3차아파트,37.5527315,126.8707482
한국체대 점핑펀태권도,,태권도,서울특별시 송파구 장지동 841-4 대진플라자2,37.47724280000001,127.1274043
브로스 유도관,,유도,서울특별시 강서구 마곡동 1253 용빌딩,37.5726979,126.8184016
P.S BOXING GYM,,권투,서울특별시 성북구 장위동 66-320 2층,37.6092945,127.0524548
WS복싱클럽 마곡점,02-6951-1229,권투,서울특별시 강서구 마곡동 798-8 엠비즈타워,37.5590115,126.8252217
레거시 복싱짐(Legacy Boxing Gym),02-796-5149,권투,서울특별시 용산구 한남동 621-1,37.5318995,127.0059547
도복소리태권도장,,태권도,서울특별시 관악구 봉천동 929-2 은중빌딩,37.4813224,126.942281
두산 은가비 태권도장,02-883-3337,태권도,서울특별시 관악구 봉천동 1708 두산아파트 상가동 4층,37.4867442,126.9453733
한국체육관,,권투,서울특별시 중랑구 신내동 571-2,37.6047911,127.0957967
strong boxing gym,,,서울특별시 영등포구 신길동 364 건영아파트,37.505041,126.9013121
영웅중국무술관,,우슈,서울특별시 강서구 방화동 564-108 방화빌딩,37.5729862,126.8076185
국일태권도장,,,서울특별시 강동구 천호동 362-64,37.5435138,127.1287451
반포검도관,02-599-5536,검도,서울특별시 서초구 반포동 54-13,37.5022316,127.0106509
용인대 SM복싱클럽 구로디지털단지역점,02-830-7989,권투,서울특별시 구로구 구로동 1125-5 동연빌딩,37.483403,126.9013958
L&K 경희대태권도 & 점핑줄넘기 개포자이점,,,서울특별시 강남구 개포동 189 개포자이 프레지던스,37.48553709999999,127.0714351
용인대 헬리오 태권도장,,태권도,서울특별시 송파구 석촌동 254-5 203호,37.4996903,127.1046745
익스트림에스 가재울점,,권투,서울특별시 서대문구 남가좌동 379-2 래미안남가좌2아파트,37.5713108,126.9126147
MTA 석사 태권도장,02-981-7677,태권도,서울특별시 성북구 길음동 498-1 래미안길음센터피스 內 상가 1201호,37.6113506,127.0269359
싸울아이,,권투,서울특별시 강서구 방화동 247-213,37.5673765,126.8149901
SMK GYM mma boxing,,,서울특별시 강동구 명일동 312-82 효승빌딩 지층,37.5512898,127.143148
티에이치용인대상암유도관,,유도,서울특별시 마포구 상암동 34-46,37.576043,126.8946596
주짓수&킥복싱 쌍문탑짐,02-990-8415,,서울특별시 도봉구 창동 661-32,37.6491513,127.0356584
용인대 방이태권도,419-4189,태권도,서울특별시 송파구 방이동 170-3,37.5134052,127.1186903
경희대신화 태권도,,태권도,서울특별시 서대문구 북가좌동 307-34,37.5787851,126.9101531
슈가복싱,,,서울특별시 노원구 하계동 208-5 스시다네,37.639115,127.0703655
한국체대 INFINITI태권도,,태권도,서울특별시 서초구 방배동 858-40,37.4883059,126.98821
ITF 태권도 송파도장,02-412-9186,태권도,서울특별시 송파구 가락동 174-23,37.4960381,127.1352661
오르다 태권도장,,태권도,서울특별시 강남구 개포동 189 개포자이 프레지던스,37.48553709999999,127.0714351
히트앤핏 교대,,권투,서울특별시 서초구 서초동 1572-6 금화빌딩,37.4929152,127.0122064
(주)스폴리오,,권투,서울특별시 서초구 반포동 706-3 세화빌딩,37.5002935,127.0105238
슈퍼키즈 태권도,,,서울특별시 서초구 우면동 66-2 우면종합상가,37.4702418,127.0242455
아라한 태권도장,,태권도,서울특별시 동작구 신대방동 724 보라매자이 더 포레스트 제상가동 2402호,37.4982221,126.9266084
복싱 체육관,,,서울특별시 도봉구 쌍문동 88-145,37.6482948,127.0339996
명성 태권도,,태권도,서울특별시 광진구 구의동 228-3,37.5442459,127.0907452
한양대 태권도,02-358-8978,태권도,서울특별시 은평구 불광동 239-2 2층,37.6177649,126.9329729
정무도장,02-6956-7439,합기도,서울특별시 강동구 성내동 423-13 석영빌딩,37.5287089,127.1318723
서울휘트니스 태권도,,,서울특별시 양천구 신정동 1009-6 남부빌딩,37.5228136,126.8641999
수락주짓수파라에스트라 서울,,권투,서울특별시 노원구 상계동 1023-1 유성상가,37.6730063,127.0559731
피트니스 교대 BOXING,,권투,서울특별시 서초구 서초동 1670-14,37.49370520000001,127.0168276
퍼스트 태권도,,태권도,"서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬상가 205,206호",37.4957254,127.148555
G.T. 복싱 클래시아점,02-565-1282,권투,서울특별시 강남구 대치동 622 대치 클래시아,37.4935926,127.0606859
렉스짐,,권투,서울특별시 동대문구 휘경동 34-48,37.5911029,127.0665156
경희대 신화 태권도,2685-4347,태권도,서울특별시 구로구 고척동 97-33 4층,37.4988795,126.8566139
효창복싱,,권투,서울특별시 용산구 원효로2가 3-15 2층,37.5374442,126.9656323
짐 오브 레슬러(Gym of wrestler),,레슬링,서울특별시 서초구 서초동 1316-1,37.4983878,127.0239729
히트앤핏 스카이라운지,,권투,서울특별시 동대문구 휘경동 319-13 두리빌딩,37.5896514,127.0568
월드스타클래스태권도장,,,서울특별시 마포구 아현동 291-7 청원빌딩 지하1층,37.5557152,126.9555444
태낭태사 태권도장 다온관,02-2698-2492,태권도,서울특별시 양천구 신정동 1182-17,37.5178055,126.8532938
강철태권도장(신길관),,태권도,"서울특별시 영등포구 여의대방로43라길 6, 4층 404호 (신길동, 신길프라자)",37.5082174,126.9202216
상도태권도 신상도점,,태권도,서울특별시 동작구 상도동 208-8,37.499314,126.9434092
주식회사 위너즈,,레슬링,서울특별시 강남구 역삼동 611-3,37.5054707,127.031647
리더스석사태권도,,태권도,서울특별시 구로구 항동 243-5,37.4869864,126.8241249
민앤마이노(답십리점),,유도,서울특별시 동대문구 답십리동 542-4,37.5726869,127.047054
도마효태권도장,,태권도,"서울특별시 양천구 신정동 1033-1 목동힐스테이트상가동 203호, 204호",37.5201132,126.8560477
파이널유도멀티짐 영등포점,,유도,서울특별시 영등포구 당산동6가 343-3,37.5357604,126.9005405
경희대 상현 태권도,,태권도,서울특별시 동작구 상도동 531 힐스테이트 상도 센트럴파크,37.4954415,126.9509774
코리안 복싱센터,,권투,서울특별시 서초구 방배동 923-6 방배아크로타워,37.4831009,126.9952758
하바스MMA 압구정,,레슬링,서울특별시 강남구 신사동 556-28,37.5220641,127.0260237
한양대엘리트태권도,,태권도,서울특별시 동대문구 이문동 255-203,37.6027207,127.062276
천마태권도,941-4112,태권도,서울특별시 성북구 종암동 104-1 SK아파트 상가동 209호,37.6011845,127.0369888
엑스퍼트짐 가산점,,권투,"서울특별시 금천구 가산동 60-19 SJ테크노빌 B108, B109호",37.4795027,126.8847171
점핑클럽 줄넘기 종암점,02-914-7333,태권도,서울특별시 성북구 종암동 104-1 종암에스케이아파트,37.6007587,127.0365131
"번동탑짐(주짓수,킥복싱,무에타이,복싱)",,권투,서울특별시 강북구 번동 308-3 창암빌딩,37.6286224,127.0400485
가천대 유신태권도,,태권도,서울특별시 노원구 상계동 1293,37.667829,127.0816184
경희대 탑 태권도장,,태권도,"서울특별시 서대문구 가재울미래로 2, 별동상가동 307호 (남가좌동, DMC파크뷰자이)",37.5722576,126.9178374
이쁨멋짐(GYM),,권투,서울특별시 성북구 안암동5가 101-3 타이거빌딩,37.5869327,127.0295892
더뉴복싱,,권투,서울특별시 노원구 상계동 730-3 다모아빌딩,37.6649964,127.0580145
녹천태권도,,태권도,서울특별시 노원구 월계동 322-1 성원아파트,37.6294153,127.062514
국가대표 길가온 태권도장 2관,,태권도,서울특별시 영등포구 신길동 236-9,37.50527400000001,126.9117952
용인대 한미태권도,02-707-1483,,서울특별시 마포구 신공덕동 155 삼성@상가지층2호3호,37.543481,126.955738
더블유에스(WS)복싱클럽(합정점),,권투,서울특별시 마포구 서교동 476-18,37.5545862,126.9120084
이스라엘리 크라브마가 IKMA KOREA (레슬링),02-522-2528,레슬링,서울특별시 서초구 서초동 1637-5 서은빌딩,37.4945317,127.0204531
동대문태권도,,태권도,서울특별시 종로구 창신동 647-15,37.5738514,127.0104478
리스펙다이어트PT 복싱체육관 노원점,,권투,서울특별시 노원구 상계동 456-63 대명보습학원,37.6634897,127.0662312
마포유도체육관,02-702-7737,유도,서울특별시 마포구 염리동 178-55,37.5472177,126.9439017
대성권투체육관,02-3144-1212,권투,서울특별시 마포구 서교동 355-27 (5층),37.5537807,126.9210753
은평인 검도교실,,검도,서울특별시 은평구 응암동 583-30,37.5922771,126.915091
신촌검도관,02-712-6330,검도,서울특별시 마포구 노고산동 19-52 2층,37.5554335,126.9399504
정심MMA태권도장,,태권도,서울특별시 은평구 대조동 188-7 2층,37.6153256,126.9249645
한얼체육관,02-712-0545,,"서울특별시 마포구 도화동 82 외3필지 도화3지구우성아파트18동 우성A상가 삼층 6,7호",37.5409175,126.9492071
슈가복싱,,권투,서울특별시 강북구 번동 310-18 한성빌딩,37.6289874,127.0393943
위너스복싱PT다이어트복싱체육관 노원점,02-935-9312,권투,서울특별시 노원구 중계동 157-26 보고프라자,37.6583669,127.0754616
경희대효태권도장,02-428-2777,태권도,서울특별시 강동구 강일동 70-8 성산타워2 (206~209호),37.5725821,127.1761089
영재오 운동지능센터,,검도,서울특별시 강남구 청담동 39-7,37.5193033,127.0420491
케이레슬링홍대점,,레슬링,서울특별시 마포구 서교동 465-11 동진빌딩,37.5557295,126.9203921
수색 국가대표 광무 태권도,,태권도,서울특별시 은평구 수색동 359-9 2BL동 204호,37.5848821,126.894544
지안 유도관,,유도,서울특별시 광진구 구의동 253-12,37.544538,127.0847771
아라한태권도,,태권도,서울특별시 양천구 목동 748-7,37.5392071,126.8688403
MTA태권도(284),02-2226-1003,,서울특별시 강남구 세곡동 281-4 강남리더스프라자 701호,37.4651307,127.1017592
군자체육관(휴업),,태권도,서울특별시 광진구 중곡동 243-2 3층,37.5626375,127.0807938
한양대은빛태권도장,,태권도,서울특별시 은평구 진관동 27 은평뉴타운 구파발 1011동 102호,37.6449232,126.9239742
화랑태권도,,태권도,서울특별시 노원구 중계동 503 동은유치원,37.6429437,127.0632368
진관유도체육관,23599898,유도,서울특별시 은평구 불광동 481-90,37.6243389,126.9202277
이흥덕 유도 체육관 수유관,,유도,서울특별시 강북구 수유동 183-4 한영빌딩 202호,37.6433089,127.0226764
한국파워점핑줄넘기클럽 개포점,,태권도,서울특별시 강남구 개포동 168-10,37.4835326,127.0598839
한성태권도장,,태권도,서울특별시 노원구 하계동 208-29 신흥약국,37.6356592,127.0707722
효 파워 점핑,,태권도,서울특별시 송파구 마천동 158-2 영인빌딩,37.4997405,127.1525655
가이아 그래플링,,레슬링,서울특별시 강남구 신사동 600-6,37.52349299999999,127.0303445
I AM FIRST BOXING GYM,,권투,서울특별시 강서구 등촌동 668-1,37.5585471,126.8437851
합기도 호림관,02-471-9925,합기도,서울특별시 강동구 둔촌동 77-3,37.5309008,127.1421053
쌍문검도관,,,서울특별시 도봉구 쌍문동 94-29,37.6483963,127.0330105
대우체육관,,,서울특별시 도봉구 창동 593-12,37.6432764,127.0380622
주공체육관,537-9901,,서울특별시 서초구 반포동 18-1 삼성레미안퍼스티지 중심상가 414호,37.5044951,127.0007548
수 태권도 인성교육관,,태권도,서울특별시 강남구 개포동 158 일영빌딩,37.4792967,127.0449655
디사이드온,,권투,서울특별시 동작구 상도동 492-19,37.495573,126.9535304
한국위너복싱 봉천점,,레슬링,서울특별시 관악구 봉천동 944-29 동해빌딩,37.4833849,126.9408665
제이복싱,,권투,서울특별시 광진구 중곡동 341-8,37.5567718,127.0815069
태낭태사 태권도,,,서울특별시 양천구 신월동 413-4,37.52569829999999,126.8407319
용인대 아리랑 태권도장,2232-3555,,서울특별시 중구 신당동 291-29 백록빌딩 3층,37.5618972,127.0168825
경희대 박병호 태권도장,02-874-9444,태권도,서울특별시 관악구 봉천동 952-1,37.4866534,126.9392099
싸비복싱 멀티짐(킥복싱?컨디셔닝),,권투,서울특별시 강서구 화곡동 349-15 광성빌딩,37.5333976,126.8452334
