지번주소,도로명주소,사업장명,위도_user,경도_user,전처리완_전화번호
서울특별시 도봉구 쌍문동 509번지 1호 백운빌딩,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)",퍼스트요양병원,37.6579955,127.0141343,02-902-3294
,"서울특별시 중랑구 망우로 400, 2층~3층(201호~204호,301호~304호) (망우동)",경동한방병원,37.5987098,127.0966238,02-2038-0100
서울특별시 강남구 도곡동 146-92 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",연세대학교의과대학 강남세브란스병원,37.4925494,127.0465277,02-2019-3114
서울특별시 금천구 가산동 151번지 36호,서울특별시 금천구 가산로 122 (가산동),성지병원,37.476546,126.8929109,02-867-7056
,"서울특별시 강남구 역삼로 245, 지하2층일부 1층일부 2~7층 (역삼동)",하나이비인후과병원,37.4979314,127.0429957,02-6925-1111
서울특별시 송파구 가락동 48-3 지하2층~지상7층,"서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)",리워크병원,37.4987715,127.1203672,02-501-1652
서울특별시 강서구 내발산동 654,서울특별시 강서구 강서로 357 (내발산동),서울필병원,37.5524944,126.8333061,02-1600-8205
서울특별시 서초구 서초동 1515번지 4호 서원빌딩,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",올바로병원,37.4862214,127.0044593,02-587-8875
"서울특별시 강남구 삼성동 52-17 마디빌딩 지하3층~지하1층,2층~9층","서울특별시 강남구 삼성로 646, 마디빌딩 B3~B1,2~9층 (삼성동)",청담해리슨병원,37.5177039,127.0512128,02-333-8801
,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",기쁨정원치과병원,37.4879855,127.1017774,02-568-2879
서울특별시 양천구 신정동 1268 복합메디컬타운,"서울특별시 양천구 중앙로 181, 복합메디컬타운 3~8층 (신정동)",서울스마트요양병원,37.5127536,126.8557987,02-2601-7111
서울특별시 송파구 석촌동 174번지 13호 한솔병원,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)",한솔병원,37.5060826,127.1059173,02-2147-6000
서울특별시 서초구 서초동 1657-1 서울365mc병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",365엠씨(mc)병원,37.492992,127.0141168,02-3474-3653
"서울특별시 강북구 미아동 304번지 3호 지하1층, 2층~5층","서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",강북으뜸병원,37.6254134,127.0261716,02-986-0334
서울특별시 강남구 논현동 63-8 나누리병원,"서울특별시 강남구 언주로 731, 나누리병원 (논현동)",나누리병원,37.5202957,127.0339776,02-6003-9718
서울특별시 강남구 논현동 218-11 강남웨딩홀,"서울특별시 강남구 언주로 631, 강남웨딩홀 지하2,2~6층 (논현동)",강남지인병원,37.5136787,127.0317124,02-6985-4119
서울특별시 도봉구 쌍문동 503-8 2~5층,"서울특별시 도봉구 삼양로 574, 2~5층 (쌍문동)",서울사랑요양병원,37.65432699999999,127.0132386,02-2039-5099
서울특별시 송파구 풍납동 269-3 지하1~지상5층,"서울특별시 송파구 토성로 20, 다보라 지하1~5층 (풍납동)",동행한방병원,37.53054059999999,127.1127197,1811-6235
"서울특별시 서초구 양재동 20번지 7호 /양재동 20-4, 2층/양재동 20-20(지1~3층)",서울특별시 서초구 바우뫼로35길 32 (양재동),참포도나무병원,37.47992920000001,127.0386696,02-1588-0831
,서울특별시 영등포구 양평로22사길 9 (양평동5가),서울은빛요양병원,37.5408432,126.8949748,02-2634-7000
,"서울특별시 노원구 동일로 987, 태릉마이크로병원건물 2,5,6,7층 (공릉동)",모아한방병원,37.6181413,127.0748475,1533-7585
