대지위치,건물명,동_세부용도,연면적,호수,위도_user,경도_user
서울특별시 강남구 개포동 1194-1,런던빌 개포,"단지형다세대주택,오피스텔",1038.75,6,37.4749278,127.0478891
서울특별시 강남구 개포동 1229-10,하우징허브럭스,오피스텔,1723.2,20,37.4765635,127.046194
서울특별시 강남구 개포동 1229-6,CCRU오피스텔,"업무시설(오피스텔 15호실), 다세대주택(20세대), 근린생활시설",2100.41,15,37.4771247,127.0456141
서울특별시 강남구 개포동 1236-4,디오빌,업무시설 (오피스텔),1123.76,22,37.4772581,127.0460838
서울특별시 강남구 개포동 1237-7,한별2,도시형생활주택 및 오피스텔,753.55,4,37.4782146,127.0465015
서울특별시 강남구 개포동 1237-8,YH빌리지,공동주택(다세대주택),906.37,5,37.4782439,127.0466635
서울특별시 강남구 개포동 1246-3,골든빌오피스텔,"업무시설,오피스텔",948.44,35,37.4787443,127.0461106
서울특별시 강남구 개포동 157-9,개포동 157-9 공동주택 (김해옥),"공동주택, 업무시설, 근린생활시설",1440.05,8,37.4830339,127.0625823
서울특별시 강남구 개포동 186-13,메트하임,"근린생활시설,업무시설(오피스텔)",10846.626,141,37.4890589,127.0671778
서울특별시 강남구 논현동 118-8,더원 센트럴,공동주택(아파트) 및 업무시설(오피스텔),1992.48,15,37.5171907,127.0396865
서울특별시 강남구 논현동 128-6,N168,"공동주택(도시형생활주택),업무시설(오피스텔),근린생활시설",11439.5165,16,37.5131197,127.0294251
서울특별시 강남구 논현동 152-5,논현동대우아이빌 힐타운,업무시설,20958.9,170,37.5108647,127.0317827
서울특별시 강남구 논현동 192-15,휴먼스페이스주상복합아파트,공동주택(아파트),2084.66,17,37.50767,127.0332962
서울특별시 강남구 논현동 202-10,리체힐 신논현 오피스텔A동,"업무시설,근린생활시설",6815.28,118,37.5055579,127.0270992
서울특별시 강남구 논현동 203-1,거평타운오피스텔,업무시설,33825.73,382,37.5058893,127.0282231
서울특별시 강남구 논현동 205-8,운현오피스텔,"업무시설,근린생활시설,관광숙박시설(가족호텔)",12101.0,198,37.50647319999999,127.0301565
서울특별시 강남구 논현동 206-14,마르세움,"업무시설(오피스텔), 근린생활시설",3640.71,59,37.5070558,127.0322295
서울특별시 강남구 논현동 207-0,학동역 이안 테라디움,공동주택(도시형생활주택),9104.108,54,37.5137717,127.0312305
서울특별시 강남구 논현동 208-5,post ville,"일반업무시설(오피스텔),공공업무시설(우체국),근린생활시설",13648.27,128,37.5140565,127.0325058
서울특별시 강남구 논현동 209-0,삼환 아르누보 3,"업무시설(오피스텔), 근린생활시설",9755.0,139,37.5144524,127.0333326
서울특별시 강남구 논현동 211-21,펜트힐 루 논현,"도시형생활주택(131),오피스텔(27),근린생활시설,운동시설",23276.809,102,37.5138357,127.0349693
서울특별시 강남구 논현동 225-6,논현 아이파크,업무시설(오피스텔),8119.84,194,37.5105414,127.0359456
서울특별시 강남구 논현동 241-1,강남파라곤,"아파트, 오피스텔, 근린생활시설",40008.92,240,37.5165513,127.0401391
서울특별시 강남구 논현동 241-3,강남구청역 에스케이 허브 블루,"업무시설(오피스텔), 판매및영업시설",29219.26,317,37.5166861,127.0405907
서울특별시 강남구 논현동 242-21,삼아프라자,근린생활시설,1991.52,27,37.5159465,127.040972
서울특별시 강남구 논현동 242-31,논현동 상지카일룸 M,업무시설(오피스텔),9401.55,88,37.5159133,127.0414648
서울특별시 강남구 논현동 249-6,논현로얄팰리스,"업무시설(오피스텔), 근린생활시설",15475.25,44,37.5125944,127.0360626
서울특별시 강남구 논현동 249-9,아츠 논현,"업무시설(오피스텔(주거용)),공동주택(도시형생활주택),근린생활시설",7554.913,45,37.5122159,127.0361828
서울특별시 강남구 논현동 277-36,이안 논현,"업무시설(오피스텔), 근린생활시설",9053.94,53,37.5095957,127.0406121
서울특별시 강남구 논현동 60-0,루시아 도산 208,"도시형생활주택,오피스텔,근린생활시설",10844.66,41,37.5197599,127.0293669
서울특별시 강남구 논현동 6-21,세양 APEX-TOWER,업무시설(오피스텔/근생),19081.97,298,37.5184589,127.0260517
서울특별시 강남구 대치동 622-1,대치 클래시아,"근린생활시설,업무시설(오피스텔)",16088.28,187,37.4936604,127.0603968
서울특별시 강남구 대치동 889-53,선릉역 롯데골드로즈오피스텔,업무시설,11238.89,198,37.5041701,127.0507856
서울특별시 강남구 대치동 889-56,더 나인 오피스텔,"업무시설(오피스텔), 근린생활시설",11766.14,204,37.5040512,127.0510455
서울특별시 강남구 대치동 890-40,프린스호텔,숙박시설,1809.48,0,37.50422349999999,127.0531027
서울특별시 강남구 대치동 890-42,대치동 우정에쉐르2,"공동주택(아파트), 업무시설(오피스텔)",1998.58,2,37.5043148,127.052556
서울특별시 강남구 대치동 890-49,선릉역대우아이빌,"공동주택(아파트),오피스텔,근린생활시설",18617.85,136,37.50449560000001,127.0515557
서울특별시 강남구 대치동 890-59,선릉역 롯데골드로즈2,"업무시설(오피스텔,사무소),근린생활시설",56225.64,644,37.5041507,127.0520978
서울특별시 강남구 대치동 891-23,대치동 대우아이빌 명문가,"공동주택(아파트),오피스텔,근린생활시설",25696.74,259,37.5050809,127.0535226
서울특별시 강남구 대치동 891-26,대치동대우아이빌멤버스,"아파트(134호),오피스텔(91호),근린생활시설(9호)",15297327.0,101,37.5046324,127.053752
서울특별시 강남구 대치동 891-38,대치트레비스타 101동,"오피스텔,근린생활시설",1997.61,60,37.5054421,127.0547187
서울특별시 강남구 대치동 891-6,테헤란로 대우 아이빌,"공동주택(아파트),오피스텔,근린생활시설",32419.97,42,37.5056874,127.054004
서울특별시 강남구 대치동 891-63,대치트레비스타 102동,오피스텔,1999.77,60,37.5053951,127.0545748
서울특별시 강남구 대치동 910-2,루가빌딩,"업무시설(오피스텔),근린생활시설",4024.94,0,37.50143870000001,127.0543304
서울특별시 강남구 대치동 938-0,삼환 아르누보2,"업무시설,근린생활시설,교육연구시설",13250.53,162,37.4974385,127.0546376
서울특별시 강남구 대치동 938-11,동민 맥스빌,공동주택,5724.69,9,37.4977981,127.0554559
서울특별시 강남구 대치동 942-3,바실리체,"업무시설(오피스텔),근린생활시설",5241.89,52,37.5058644,127.0575798
서울특별시 강남구 대치동 943-24,신안메트로칸,"업무시설(오피스텔),근린생활시설",31886.66,530,37.5068833,127.059437
서울특별시 강남구 대치동 944-21,대치2차 아이파크,"업무시설,근린생활시설",20084.0,196,37.5069787,127.0608949
서울특별시 강남구 대치동 945-20,대치3차 아이파크 오피스텔,"업무시설(오피스텔),근린생활시설",12693.77,240,37.50704959999999,127.0618226
서울특별시 강남구 대치동 945-29,CO-OP Residence/삼성역,"오피스텔,근생",4281.41,146,37.5071397,127.0614529
서울특별시 강남구 도곡동 168-0,에스케이리더스뷰,"업무시설(오피스텔), 판매및영업시설, 운동시설",65212.69,219,37.4884716,127.0487329
