전화번호,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,영업장주변구분명,위도_user,경도_user
02 34494029,135-906,서울특별시 강남구 압구정동 494,서울특별시 강남구 압구정로 343 (압구정동),6008.0,한화갤러리아(주) 명품관,기타식품판매업,,37.5285614,127.0400548
,138-888,서울특별시 송파구 문정동 618 파크하비오,"서울특별시 송파구 송파대로 111, 하비오길동 1층 호텔로 202동 137~144호 (문정동, 파크하비오)",5837.0,지에스더프레시 송파하비오점,기타식품판매업,,37.4806043,127.1236664
0215226333,158-831,서울특별시 양천구 신월동 217-21,"서울특별시 양천구 곰달래로2길 46, 1,2층 (신월동)",7927.0,식자재왕 도매마트,기타식품판매업,,37.5264076,126.8362839
02  30107726,138-736,서울특별시 송파구 풍납동 388-1 서울아산병원 동관 지하1층,"서울특별시 송파구 올림픽로43길 88 (풍납동,서울아산병원 동관 지하1층)",5505.0,현대그린푸드 H마트 서울아산병원점,기타식품판매업,,37.5266801,127.108279
02 26432211,157-900,서울특별시 강서구 화곡동 830-1,서울특별시 강서구 등촌로5길 80 (화곡동),7738.0,롯데슈퍼 화곡2점,기타식품판매업,,37.5330599,126.8589624
02 5437642,135-510,서울특별시 강남구 압구정동 456 금강쇼핑센타 지하1층,"서울특별시 강남구 압구정로 201 (압구정동,금강쇼핑센타 지하1층)",6004.0,(주)현대그린푸드 압구정슈퍼,기타식품판매업,,37.5296583,127.0308297
,157-909,"서울특별시 강서구 화곡동 900-1 해태드림타운 1층 110,111,112,113호","서울특별시 강서구 강서로7길 28, 1층 110,111,112,113호 (화곡동, 해태드림타운)",7777.0,(주)행복한식자재마트,기타식품판매업,,37.5299833,126.8461647
02 4065304,138-818,서울특별시 송파구 마천동 125,서울특별시 송파구 마천로43길 3 (마천동),5755.0,송파농협하나로마트 거마점,기타식품판매업,,37.5025545,127.1449624
,120-859,서울특별시 서대문구 홍제동 158-33 연세24시사우나,"서울특별시 서대문구 통일로 413, 1층 (홍제동)",3646.0,삼성식자재마트,기타식품판매업,,37.5861743,126.9464054
8419800,150-854,서울특별시 영등포구 신길동 861,서울특별시 영등포구 여의대방로 203 (신길동),7360.0,영등포농협 하나로마트(여의대방로점),기타식품판매업,,37.5101224,126.914424
