지번주소,도로명주소,사업장명,위도_user,경도_user,전처리완_전화번호
서울특별시 강서구 마곡동 797-4 발산파크프라자,"서울특별시 강서구 공항대로 261, 발산파크프라자 4층 401호 (마곡동)",타임피부과의원,37.5590762,126.8364887,02-3663-5940
서울특별시 중구 남대문로2가 9-1,"서울특별시 중구 남대문로 84, 7층 (남대문로2가)",명동웰니스내과의원,37.5646485,126.9826975,02-6959-5791~2
서울특별시 영등포구 당산동2가 165 한화포레나당산,"서울특별시 영등포구 당산로 83, 201,202호 (당산동2가, 한화포레나당산)",오케이내과심장혈관흉부외과의원,37.52225019999999,126.8953397,02-2634-9980
서울특별시 강서구 염창동 274-18 한울밸리움,"서울특별시 강서구 공항대로 531, 202호 (염창동, 한울밸리움)",스타서울이비인후과의원,37.5511345,126.8654532,02-3663-5630
서울특별시 중구 신당동 369-11 약수JK빌딩 3층,"서울특별시 중구 다산로11길 3, 약수JK빌딩 3층 (신당동)",한길영상의학과의원,37.5544304,127.0100379,02-2256-7708
서울특별시 은평구 불광동 267,"서울특별시 은평구 통일로 746, 3층 (불광동)",약손부부한의원,37.611816,126.9288072,02-388-7510
서울특별시 양천구 신정동 1182번지 2호 3층,"서울특별시 양천구 중앙로 251, 3층 (신정동)",경희한의원,37.518679,126.8532072,02-2692-2188
,"서울특별시 서대문구 수색로 100, 103동 6호 (북가좌동, DMC래미안e편한세상)",삼성키즈소아청소년과의원,37.5725067,126.9109076,02-3151-0154
서울특별시 강남구 역삼1동 825번지 미진프라자 4층 405호,"서울특별시 강남구 강남대로 390, 4층 405호 (역삼동, 미진프라자)",브이맨비뇨기과의원,37.4978461,127.0286372,02-3469-1900
,서울특별시 양천구 곰달래로 20 (신월동),신월맥한의원,37.5296463,126.8347168,02-2608-1210
"서울특별시 강남구 개포동 1283 개포자이르네 203,203-1,204,218호","서울특별시 강남구 언주로7길 6, 2층 203,203-1,204,218호 (개포동, 개포자이르네)",개포센트럴이비인후과의원,37.4784719,127.0553589,02-577-2577
서울특별시 강남구 논현동 241-3 에스케이 허브블루,"서울특별시 강남구 학동로 342, 에스케이 허브블루 305호 (논현동)",조병훈치과의원,37.5166861,127.0405907,02-517-2090
서울특별시 영등포구 당산동3가 260,"서울특별시 영등포구 당산로 118, 5층 502호 (당산동3가)",조은탑내과의원,37.5250383,126.8971282,02-6953-2800
서울특별시 관악구 신림동 1735번지 8호,"서울특별시 관악구 난곡로 50, 2층 (신림동, 자연빌딩)",고운맘소아청소년과의원,37.460491,126.9201747,02-853-7705
서울특별시 강동구 성내동 397-6,"서울특별시 강동구 양재대로 1393, 3층 (성내동)",연세진치과의원,37.5305713,127.1367416,02-486-2882
서울특별시 서초구 서초동 1694번지 25호 삼하빌딩 4층,"서울특별시 서초구 서초중앙로 142, 4층 (서초동, 삼하빌딩)",백옥치과의원,37.4945667,127.0138073,537-5375
