name,gu,addr,phone,위도_user,경도_user
남산도시자연공원,중구,서울특별시 중구 삼일대로 231(예장동),02-3783-5900,37.5558947,126.9920209
길동생태공원,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,02-489-2770,37.5410211,127.1562098
서울대공원,과천시,경기도 과천시 대공원광장로 102,02-500-7032,37.4359624,127.0142283
서울숲,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,02-460-2905 ,37.5450455,127.0408373
월드컵공원,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),02-300-5500,37.570908,126.8784506
광화문시민열린마당,종로구,서울특별시 종로구 세종로 76-2,02-2148-2843,37.5752067,126.9784132
진관근린공원(구파발폭포),은평구,서울특별시 은평구 진관동 393,02-351-8004,37.6371069,126.9190707
중마루근린공원,영등포구,서울특별시 영등포구 영등포동2가 222,02-2670-3717,37.5197905,126.9113685
응봉공원,성동구,서울특별시 성동구 금호동1가 산1-72,02-2293-7646,37.553569,127.0249849
매화근린공원,강서구,서울특별시 강서구 등촌동 630-14,02-2600-4181,37.5582919,126.8597682
성수근린공원,성동구,서울특별시 성동구 성수2가 3동 302-25,02-2286-5657,37.5482051,127.0552403
샛마을근린공원,강동구,서울특별시 강동구 명일1동 288,02-3425-6444,37.549515,127.1450726
여의도근린공원,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),02-761-4078~9,37.5260776,126.922483
간데메근린공원,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),02-2249-2770,37.57336859999999,127.0486847
훈련원근린공원,중구,서울특별시 중구 을지로 227,02-3396-5894,37.5673944,127.0035451
영등포근린공원,영등포구,서울특별시 영등포구 신길로 275,02-2670-3716,37.51523820000001,126.9108539
보라매근린공원,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),02-2181-1191~1195,37.4932342,126.9197115
어린이대공원,광진구,서울특별시 광진구 능동로 216(어린이대공원),02-450-9311,37.549363,127.0818126
천호근린공원,강동구,서울특별시 강동구 올림픽로 702(천호공원),02-489-2776,37.545899,127.126146
용산가족공원,용산구,서울특별시 용산구 서빙고로 185,02-792-5660,37.5200197,126.9850603
독립근린공원,서대문구,서울특별시 서대문구 통일로251(독립공원),02-364-4686,37.5752858,126.9550192
낙산근린공원,종로구,서울특별시 종로구 낙산길 41 (우) 03085,02-743-7985~6,37.5826036,127.0053021
양재시민의숲,서초구,서울특별시 서초구 매헌로 99 (양재동),02-575-3895,37.4710677,127.035758
관악산도시자연공원,관악구,서울특별시 관악구 관악로 1(관악산공원),02-2627-1653,37.480967,126.953148
효창근린공원,용산구,서울특별시 용산구 효창원로 177-18,02-2199-7608,37.5451823,126.9602216
감로천생태공원(관악산),금천구,서울특별시 금천구 독산4동 371?375 373일대,02)2627-2395~7,37.4703209,126.9069047
개운산근린공원,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),02-2241-3667,37.59815469999999,127.025452
개웅산근린공원,구로구,서울특별시 구로구 오류동 산13-1,02-860-3086,37.4929452,126.8480657
경희궁,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),02-2148-4144,37.569142,126.9698461
국립현충원,동작구,서울특별시 동작구 사당2동 산41-2,02-826-6235,37.4798074,126.9772568
계남근린공원,양천구,서울특별시 양천구 신정동 산44-2일대,02-2620-3575,37.5151795,126.8557093
고척근린공원,구로구,서울특별시 구로구 고척로45길 39(고척공원),02-860-3086,37.5059325,126.8520068
파리근린공원,양천구,서울특별시 양천구 목동동로 363 ,02-2620-3576,37.5347844,126.8770238
허준공원,강서구,서울특별시 강서구 허준로5길 42,02-2600-4186,37.5677821,126.8526597
궁동근린공원,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,02-330-1961,37.5706722,126.9248635
궁산근린공원,강서구,서울특별시 강서구 가양동 산4-7,02-2600-4185,37.5741598,126.8408055
까치산근린공원,동작구,서울특별시 동작구 사당동 산32,02-820-1396,37.4843883,126.9639231
꿩고개근린공원,강서구,서울특별시 강서구 방화동 산110,02-2600-4186,37.5801173,126.815973
노량진공원,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),02-820-9845,37.504965,126.9233956
답십리근린공원,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) ,02-2127-4398,37.5743965,127.0634054
대모산도시자연공원,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) ,02-3423-6283,37.4774335,127.074975
탑골근린공원,종로구,서울특별시 종로구 종로 99,02-2148-2843,37.571198,126.9883535
갈산근린공원,양천구,서울특별시 양천구 신정동 162-56,02-2620-3574,37.5060631,126.8684043
천마근린공원,송파구,서울특별시 송파구 마천동 산 1-1,02-400-0978,37.5029219,127.1579748
도곡근린공원,강남구,서울특별시 강남구 도곡동 산31-1,02-3423-6248,37.4894249,127.0440986
도산근린공원,강남구,서울특별시 강남구 도산대로45길 20(도산공원),02-3423-6244,37.5244813,127.0353667
청량공원,성북구,서울특별시 성북구 화랑로18가길 50,02-2241-3683,37.6021131,127.0496572
초안산근린공원,도봉구,서울특별시 도봉구 창동 산157,02-2091-3754,37.6480363,127.0454959
