지번주소,도로명주소,사업장명,위도_user,경도_user,전처리완_전화번호
서울특별시 영등포구 여의도동 44-5,"서울특별시 영등포구 여의대방로69길 19, 힐스에비뉴상가 2층 209호 (여의도동)",파인루체이층약국,37.49665239999999,126.9139197,02-780-2209
서울특별시 강남구 논현동 1 삼주빌딩,"서울특별시 강남구 강남대로 606, 삼주빌딩 1층 일부호 (논현동)",하리약국,37.5158612,127.0201884,02-543-3577
서울특별시 서대문구 미근동 332 웨스트게이트타워,"서울특별시 서대문구 충정로 70, 웨스트게이트타워 2층 (미근동)",해든우리약국,37.5647015,126.9662207,02-313-8763
서울특별시 성북구 동소문동4가 260 드림트리빌딩,"서울특별시 성북구 동소문로 63, 드림트리빌딩 1층 (동소문동4가)",호호약국,37.5917268,127.0120766,02-2039-1752
서울특별시 광진구 자양동 779-6,"서울특별시 광진구 아차산로 361, 1층 (자양동)",더참사랑약국,37.5370275,127.0829276,02-455-7077
서울특별시 은평구 대조동 241 베르디움STAY1 401동 225호,"서울특별시 은평구 통일로 767, 401동 225호 (대조동, 베르디움STAY1)",호반약국,37.6119304,126.9194523,
서울특별시 강남구 개포동 1264-13 개포동 1264-13 다세대주택,"서울특별시 강남구 개포로31길 19-16, 1층 101호 (개포동, 개포동 1264-13 다세대주택)",솔향기약국,37.48021170000001,127.0489457,02-6205-8088
서울특별시 성북구 안암동5가 146-1 안암역,"서울특별시 성북구 고려대로 지하89, 안암역 지하1층 103호, 104호 (안암동5가)",안암지하철약국,37.5836807,127.0293084,02-953-8333
서울특별시 관악구 신림동 755번지 12호,"서울특별시 관악구 난곡로 231, 1층 (신림동)",난곡비타민약국,37.4749613,126.9166065,02-855-8885
서울특별시 송파구 방이동 208번지 1호,"서울특별시 송파구 마천로 25, 1층 (방이동)",라임약국,37.509715,127.1239421,02-3432-7582
서울특별시 도봉구 쌍문동 103-231 드림하우스,"서울특별시 도봉구 도봉로 441, 1층 103(일부)호 (쌍문동, 드림하우스)",웰니스약국,37.6453907,127.0324197,02-903-4199
서울특별시 금천구 독산동 159-23 영진빌딩,"서울특별시 금천구 시흥대로 426, 영진빌딩 1층 (독산동)",풍경약국,37.47158719999999,126.8987912,02-869-6888
서울특별시 중랑구 망우동 584 신내역 프라디움 더 테라스 B동 219호,"서울특별시 중랑구 용마산로 670, B동 219호 (망우동, 신내역 프라디움 더 테라스)",365시티약국,37.6110654,127.1016653,02-6958-8909
,"서울특별시 금천구 남부순환로 1372 (독산동, 현경빌딩)",독산중앙약국,37.4794607,126.9033608,851-1630
서울특별시 양천구 목동 650-1,"서울특별시 양천구 등촌로 188, 102호 (목동)",봄약국,37.5415283,126.8625104,070-8871-7092
서울특별시 노원구 공릉동 223-12,"서울특별시 노원구 공릉로 176, 1층 (공릉동)",시민약국,37.6256451,127.0800739,02-976-9815
서울특별시 서초구 방배동 921-26 이레힐,"서울특별시 서초구 효령로25길 28, 이레힐 1층 101호 (방배동)",셀메드수약국,37.4824146,126.9939861,02-525-5339
서울특별시 서초구 서초동 1317-20 아라타워,"서울특별시 서초구 서초대로77길 3, 아라타워 124호 (서초동)",나인약국,37.4979437,127.0265374,02-537-0999
서울특별시 동대문구 청량리동 744 1층,"서울특별시 동대문구 홍릉로 3, 1층 (청량리동)",다나은약국,37.5806683,127.0446649,02-960-1005
서울특별시 금천구 독산동 1155번지 금천롯데캐슬골드파크3차,"서울특별시 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)",우리캐슬약국,37.4604657,126.8974181,02-802-2455
