num,gu,name,category,phone,addr,위도_user,경도_user
1,서울중부,을지지구대,지구대,02-2279-1908,서울특별시 중구  을지로 234,37.5664707,127.0039404
2,서울중부,광희지구대,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,37.5652432,127.0133851
3,서울중부,약수지구대,지구대,02-2234-8112,서울특별시 중구  동호로 5길 15,37.5521517,127.0123555
4,서울중부,신당파출소,파출소,02-2252-0435,서울특별시 중구  다산로 248,37.5650444,127.0163807
5,서울중부,장충파출소,파출소,02-2274-9003,서울특별시 중구  동호로 261,37.5588159,127.0048761
6,서울중부,충무파출소,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,37.5608522,126.9915765
7,서울중부,을지로3가파출소,파출소,02-2266-2404,서울특별시 중구 충무로 56-1,37.5661811,126.9928486
8,서울종로,종로2가지구대,지구대,02-3701-4301,서울특별시 종로구  종로17길 4,37.5705017,126.9889217
9,서울종로,관수파출소,파출소,02-3701-4302,서울특별시 종로구  삼일대로 386,37.5689572,126.98815
10,서울종로,세검정파출소,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,37.6000351,126.9584514
11,서울종로,평창파출소,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,37.6047609,126.9654294
12,서울종로,삼청파출소,파출소,02-3701-4303,서울특별시 종로구  삼청로 66,37.5814059,126.9811324
13,서울종로,통의파출소,파출소,02-3701-4304,서울특별시 종로구  효자로 9,37.57677049999999,126.9740008
14,서울종로,청운파출소,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,37.5841381,126.9705976
15,서울종로,옥인파출소,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,37.5814725,126.9694271
16,서울종로,교남파출소,파출소,02-3701-4310,서울특별시 종로구  송월길 167,37.5706531,126.9651229
17,서울종로,세종로파출소,파출소,02-3701-4312,서울특별시 중구  세종대로 141,37.5689364,126.9764239
18,서울종로,신문로파출소,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,37.570751,126.9722054
19,서울종로,사직파출소,파출소,02-3701-4309,서울특별시 종로구  사직로9길 1,37.5759361,126.967264
20,서울종로,청진파출소,파출소,02-3701-4313,서울특별시 종로구  삼봉로 33,37.572915,126.9792677
21,서울남대문,태평로파출소,파출소,02-2096-8471,서울특별시 중구  다동길 11,37.5680342,126.9800551
22,서울남대문,서울역파출소,파출소,02-2096-8472,서울특별시 중구  통일로 13,37.5562987,126.9718126
23,서울남대문,명동파출소,파출소,02-2096-8473,서울특별시 중구  명동길 30,37.5635808,126.983966
24,서울남대문,남대문파출소,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,37.5594216,126.9762398
25,서울남대문,중림파출소,파출소,02-2096-8475,서울특별시 중구  중림로 36,37.5578847,126.9671311
26,서울남대문,회현파출소,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-10,37.5578126,126.9790112
27,서울남대문,서소문파출소,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1,37.5638544,126.975449
28,서울서대문,충정로지구대,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1,37.5698922,126.9611209
29,서울서대문,신촌지구대,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22,37.5585748,126.9429921
30,서울서대문,홍은파출소,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112,37.5952417,126.946418
31,서울서대문,연희파출소,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73,37.5703278,126.9329029
32,서울서대문,남가좌파출소,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51,37.5760219,126.9240678
33,서울서대문,북가좌파출소,파출소,02-335-8306,서울특별시 서대문구  증가로 244,37.58298509999999,126.9128737
34,서울서대문,홍제파출소,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1,37.5881612,126.9445399
35,서울서대문,홍은2파출소,파출소,02-335-8308,서울특별시 서대문구  연희로 298,37.5836756,126.9361657
36,서울혜화,혜화파출소,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 ,37.5861068,127.0014054
37,서울혜화,대학로파출소,파출소,02-763-1230,서울특별시 종로구  이화장2길 33,37.5785962,127.0060393
